Q9CPY7|AMPL: 0.23415235499851408
P46660|AINX: 0.2337090099851289
P58389|PTPA: 0.23349711174766222
Q8CC35|SYNPO: 0.23224918792645136
Q8CI94|PYGB: 0.23130665719509114
P60879|SNP25: 0.23044921457767487
Q9QYB5|ADDG: 0.22929678383904198
Q921F2|TADBP: 0.22909891248370212
P14824|ANXA6: 0.22799586279628178
P68033|ACTC: 0.2278618166844053
P97370|AT1B3: 0.22774715077442428
P47963|RL13: 0.22749180833731467
Q80YN3|BCAS1: 0.22734568811332187
Q9D051|ODPB: 0.22729561726252245
P50516|VATA: 0.2262526402870817
O70318|E41L2: 0.2252008400003736
P68433|H31: 0.22498962158958113
Q99J99|THTM: 0.2234531423697869
P53994|RAB2A: 0.22301772857705748
Q8K0T0|RTN1: 0.2228014667828877
P26638|SYSC: 0.22254890358696383
P84086|CPLX2: 0.2216557338833809
Q6P1F6|2ABA: 0.2212235884120067
P21460|CYTC: 0.22111312528916946
P17809|GTR1: 0.221107095402355
Q8BYI9|TENR: 0.22099869449933385
P62881|GNB5: 0.22064051839212576
O88844|IDHC: 0.22009856229124125
Q99JY0|ECHB: 0.21990582859143615
P49312|ROA1: 0.2195877954363823
P28652|KCC2B: 0.2190200686454773
Q9CQ54|NDUC2: 0.21796435005186748
Q9QYF9|NDRG3: 0.21768372816344103
Q9CQD1|RAB5A: 0.21753165560464063
P42669|PURA: 0.21733816464742028
O35381|AN32A: 0.2172094387933612
P34022|RANG: 0.21681928165101758
P99028|QCR6: 0.21636830021937692
Q9QYJ0|DNJA2: 0.2161774186727901
P97300|NPTN: 0.21604824314514803
Q9CYN9|RENR: 0.2158341530400018
Q9D0F9|PGM1: 0.2156930008592705
Q8R464|CADM4: 0.21529307561771324
Q8R0Y6|AL1L1: 0.21523272121946016
O88643|PAK1: 0.21499751942853132
P70441|NHRF1: 0.21435620534854627
Q3ULJ0|GPD1L: 0.2138024375793369
D3YZU1|SHAN1: 0.2134229065850377
Q99JR1|SFXN1: 0.21330509024361768
Q922S4|PDE2A: 0.21269838647761694
Q9WV55|VAPA: 0.21234580300127465
O88741|GDAP1: 0.21213462215382609
Q9EPJ9|ARFG1: 0.21130594228937602
P97427|DPYL1: 0.21120265871286392
P49722|PSA2: 0.2111732754856348
Q641P0|ARP3B: 0.211061982709604
Q6R0H7|GNAS1: 0.2110284526521961
Q64133|AOFA: 0.21100721314239007
Q6ZWN5|RS9: 0.2109579760581255
Q9CYH2|F213A: 0.21060391111920276
O88343|S4A4: 0.21045510346690816
P62880|GBB2: 0.2104064871867497
Q8BW75|AOFB: 0.21029808847621706
Q640R3|HECAM: 0.2102630871037642
Q9CZ42|NNRD: 0.2102231706958264
Q9CXS4|CENPV: 0.21020469317833582
Q8R570|SNP47: 0.2100946499655644
P29341|PABP1: 0.20983304323938987
P14211|CALR: 0.2097498128811517
Q91VD9|NDUS1: 0.20911904672781634
P14131|RS16: 0.20898450689855963
P84104|SRSF3: 0.20856927630181116
P62908|RS3: 0.208224818110466
Q9R1P4|PSA1: 0.2079349122941494
P62627|DLRB1: 0.20762715958214054
P47911|RL6: 0.2074615489691496
P63054|PCP4: 0.20710144517943263
P28656|NP1L1: 0.20703602685049796
P54071|IDHP: 0.20690982276573777
Q8BLF1|NCEH1: 0.20689957883829874
P12787|COX5A: 0.20636146018902446
P62482|KCAB2: 0.20632331104328236
Q5SRX1|TM1L2: 0.2053589301649481
P45878|FKBP2: 0.2050417111022398
P24369|PPIB: 0.2048111972399056
Q60737|CSK21: 0.20465873181819916
Q8BUV3|GEPH: 0.20427658728052242
Q9QYR6|MAP1A: 0.2040488595763842
Q91WC3|ACSL6: 0.20372347378482422
Q8BH59|CMC1: 0.20363519837458943
Q9CPQ1|COX6C: 0.20349813687304658
Q7TMK9|HNRPQ: 0.2033616378903389
O55234|PSB5: 0.20330012775957584
P63028|TCTP: 0.20313446782529354
P97450|ATP5J: 0.2031206488609314
Q8R3V5|SHLB2: 0.20306650475443652
Q06185|ATP5I: 0.20304687817891443
Q91ZJ5|UGPA: 0.2028357187906901
Q8R0A7|K0513: 0.20275035376350084
P50247|SAHH: 0.20171884012718996
P84084|ARF5: 0.20134649192914367
P62827|RAN: 0.20122853418191278
P67871|CSK2B: 0.20121694061284265
Q78ZA7|NP1L4: 0.2009814123933514
P19157|GSTP1: 0.20097131530443835
Q9WV60|GSK3B: 0.20090647942076123
Q8BNY6|NCS1: 0.20084519727000344
E9PUL5|PRRT2: 0.20065156370401394
O35136|NCAM2: 0.2006109599606134
Q9QZQ8|H2AY: 0.2005378551160296
P12367|KAP2: 0.20027349640925726
Q9CXW4|RL11: 0.20020444691181183
Q9QWI6|SRCN1: 0.2000869041463981
P84096|RHOG: 0.2000334511200587
Q91V92|ACLY: 0.1993687441572547
Q9DC70|NDUS7: 0.19925613476273915
Q99LI8|HGS: 0.19903170752028623
Q9QZ88|VPS29: 0.1984728059420983
P13595|NCAM1: 0.19845462838808692
Q6PDM2|SRSF1: 0.19829992577433586
P35564|CALX: 0.19782603532075882
Q6ZWV3|RL10: 0.19769745411273712
P52196|THTR: 0.1971960288938135
P28661|SEPT4: 0.1971936283322672
P56376|ACYP1: 0.19704882707446814
Q8BJI1|S6A17: 0.19700276048388332
P70704|AT8A1: 0.19698711236317953
P10126|EF1A1: 0.19682976603507985
Q8BKZ9|ODPX: 0.1966353914079567
P62746|RHOB: 0.19658069149591026
Q9DC07|LNEBL: 0.19656455547859272
Q9Z204|HNRPC: 0.19638971736033758
Q63844|MK03: 0.19608952850103378
Q80TE7|LRRC7: 0.1960562945653995
Q9CR21|ACPM: 0.19602971412435483
P20060|HEXB: 0.19590799048698196
P97351|RS3A: 0.19586885332440335
Q6WVG3|KCD12: 0.19581276481039822
Q61885|MOG: 0.1955406442284584
Q60692|PSB6: 0.1954975382735332
O54774|AP3D1: 0.19535262479136387
P48318|DCE1: 0.19530202262103558
Q8BGT8|PHIPL: 0.19489875726867467
Q9WUM4|COR1C: 0.19422741350717843
Q99L43|CDS2: 0.19402738846838474
Q64105|SPRE: 0.19399867606504512
Q8VE33|GD1L1: 0.1938313233355681
Q925N0|SFXN5: 0.19368437988062703
P57776|EF1D: 0.19313671113923192
Q61548|AP180: 0.19310499727725983
Q8R001|MARE2: 0.19201345753390342
P24472|GSTA4: 0.19160813900331655
P51410|RL9: 0.19153817680974802
P05132|KAPCA: 0.19147081797321638
Q8BP47|SYNC: 0.19109392818063498
Q9QVP9|FAK2: 0.19051077853267392
Q9QZM0|UBQL2: 0.19029993950001275
Q60829|PPR1B: 0.19000312561790147
P84099|RL19: 0.18985044645766416
Q8QZT1|THIL: 0.1896993791063627
