Q6PIE5|AT1A2: 1484399.0
P56391|CX6B1: 1477631.895833332
P12658|CALB1: 1454749.8697916667
Q7TQD2|TPPP: 1450322.395833333
P00920|CAH2: 1427810.895833332
Q8K0T0|RTN1: 1427784.124999999
P09411|PGK1: 1420078.833333332
Q9R0P9|UCHL1: 1411959.0
Q9QWI6|SRCN1: 1375541.6666666667
P70404|IDHG1: 1369576.854166667
Q8VDN2|AT1A1: 1361095.25
Q4V9Z5|SE6L2: 1341016.6666666667
P56564|EAA1: 1340238.083333332
O55131|SEPT7: 1321854.520833334
P10854|H2B1M: 1321599.197916667
P46660|AINX: 1312296.979166667
Q7TQF7|AMPH: 1308171.916666667
Q8CAA7|PGM2L: 1286458.3333333333
P10126|EF1A1: 1281933.895833333
Q9JJV2|PROF2: 1268936.916666666
Q8CC35|SYNPO: 1237208.3333333333
Q99JY9|ARP3: 1214784.604166667
Q9Z2I9|SUCB1: 1211726.333333333
P68433|H31: 1189634.083333333
Q9D172|GAL3A: 1183599.333333334
P99028|QCR6: 1172763.0625
P23818|GRIA1: 1165361.8958333335
Q60771|CLD11: 1153205.395833334
Q6R0H7|GNAS1: 1145333.3333333333
P31648|SC6A1: 1132996.177083334
Q9QXS6|DREB: 1121401.083333333
Q99PT1|GDIR1: 1117675.979166667
Q9ES97|RTN3: 1107133.520833333
O08749|DLDH: 1102690.9375
Q6PDM2|SRSF1: 1100125.0
Q8BYI9|TENR: 1098851.854166667
P28651|CAH8: 1092916.6666666667
Q06185|ATP5I: 1090627.125
P62631|EF1A2: 1088232.541666667
Q78ZA7|NP1L4: 1085250.0
G5E829|AT2B1: 1082935.645833333
P60761|NEUG: 1076830.8125000002
P60904|DNJC5: 1076808.854166667
Q91WS0|CISD1: 1076640.6875
Q9WUM4|COR1C: 1062750.0
Q8C3X4|GUF1: 1052169.104166667
P19536|COX5B: 1050837.125
P43274|H14: 1046268.604166666
Q9D6M3|GHC1: 1034581.833333333
Q9D3D9|ATPD: 1034180.6875
P61161|ARP2: 1030631.916666666
O88569|ROA2: 1019130.625
Q91VR2|ATPG: 1005636.125
P12960|CNTN1: 993965.729166667
P43276|H15: 987316.9244791666
Q9R1T4|SEPT6: 984423.958333334
Q08331|CALB2: 978972.5572916667
Q9CWF2|TBB2B: 975525.1666666665
Q76MZ3|2AAA: 973434.625
Q06890|CLUS: 973036.1770833333
Q9D0M5|DYL2: 963867.416666667
Q8R191|SNG3: 962383.645833334
Q64433|CH10: 951046.875
P47757|CAPZB: 948339.416666667
P19157|GSTP1: 939390.0625
Q8BLQ9|CADM2: 932456.020833333
P61922|GABT: 923257.416666667
P48771|CX7A2: 922864.770833334
Q9WUC3|LY6H: 918988.8020833335
Q8QZT1|THIL: 915742.3125
Q8BH59|CMC1: 913841.854166667
Q9CQQ7|AT5F1: 903765.979166667
P13595|NCAM1: 885715.25
Q3TXX4|VGLU1: 880179.208333334
Q91V12|BACH: 861989.5625
Q9CQZ5|NDUA6: 858791.6666666666
P20917|MAG: 858267.697916667
Q9DBJ1|PGAM1: 855285.5833333321
P35700|PRDX1: 851023.3125000009
P17427|AP2A2: 846793.104166667
P97450|ATP5J: 845826.229166667
P40142|TKT: 838451.854166667
Q99P72|RTN4: 834568.6145833335
Q61937|NPM: 831217.208333333
O08539|BIN1: 829564.489583333
Q9R0Q6|ARC1A: 821267.6354166665
P61089|UBE2N: 818397.385416667
P68033|ACTC: 817273.6666666679
Q02053|UBA1: 810270.604166667
P24527|LKHA4: 804750.0
Q9D023|MPC2: 804666.6666666666
Q9JKK7|TMOD2: 801344.354166666
Q99LF4|RTCB: 793974.5
P38647|GRP75: 793405.708333333
Q91V61|SFXN3: 789223.53125
Q7TSJ2|MAP6: 785630.3125
Q62188|DPYL3: 780547.6145833335
Q05816|FABP5: 779082.15625
Q91YT0|NDUV1: 773533.84375
Q9Z2Q6|SEPT5: 769848.5625
P63082|VATL: 759035.8541666665
P68369|TBA1A: 749875.0
F6SEU4|SYGP1: 746502.6666666665
Q9CVB6|ARPC2: 746277.927083333
Q2PFD7|PSD3: 745036.7916666665
Q61361|PGCB: 743211.0
Q925N0|SFXN5: 732428.385416667
P35564|CALX: 729505.385416667
P42669|PURA: 728565.916666667
P34884|MIF: 727686.916666667
P62827|RAN: 725883.6875
Q4KMM3|OXR1: 723455.5312499995
Q6IRU5|CLCB: 723319.03125
P15508|SPTB1: 718877.7604166665
Q9JIS5|SV2A: 718200.270833333
Q62277|SYPH: 712851.6666666679
P63318|KPCG: 711148.6875
P10922|H10: 707589.208333333
P15105|GLNA: 704554.25
P63001|RAC1: 699375.6458333335
Q5DQR4|STB5L: 697583.3333333334
E9PUL5|PRRT2: 694945.6875
O88448|KLC2: 691012.5
Q01853|TERA: 687765.604166667
B9EKR1|PRPTZ: 680576.1875
O88342|WDR1: 679188.125
Q9QYR6|MAP1A: 677323.5
Q810U3|NFASC: 677039.854166666
P61202|CSN2: 676083.3333333334
Q8CBW3|ABI1: 673250.0
Q8BJU0|SGTA: 668666.6666666666
Q91VD9|NDUS1: 667386.875
P61979|HNRPK: 664731.354166667
P12382|PFKAL: 663453.3020833335
P18872|GNAO: 661967.0833333321
P12660|PCP2: 659875.0
Q8BWF0|SSDH: 656613.114583333
Q9QYG0|NDRG2: 649784.927083333
P97461|RS5: 648958.3333333334
Q62108|DLG4: 648926.6145833335
P03930|ATP8: 648665.1249999995
Q6ZWR6|SYNE1: 647857.28125
P23819|GRIA2: 645329.59375
Q8K0U4|HS12A: 643574.5104166665
Q9QYC0|ADDA: 643447.46875
Q9D6J6|NDUV2: 639660.958333333
Q9Z1L5|CA2D3: 633975.0
Q3U1J4|DDB1: 633666.6666666666
Q8CI94|PYGB: 631535.5
P26645|MARCS: 629199.2500000009
Q8BVE3|VATH: 625920.166666667
Q3UHJ0|AAK1: 622641.3125
Q9CPQ1|COX6C: 620328.9895833335
Q61548|AP180: 615526.5625
P14873|MAP1B: 613014.4166666665
P46061|RAGP1: 611886.607421875
P57746|VATD: 611318.3854166665
Q9WV02|RBMX: 607125.0
Q9R1V4|ADA11: 604250.0
Q9CPW0|CNTP2: 599416.6666666666
Q920P5|KAD5: 592625.0
Q91V14|S12A5: 589326.510416666
P11881|ITPR1: 585750.6315104166
P52760|RIDA: 576116.1197916665
P48678|LMNA: 575768.1666666665
Q9DB05|SNAA: 573475.1875
P99027|RLA2: 571632.572916667
O54901|OX2G: 569916.6666666666
Q7TQI3|OTUB1: 568151.697916667
Q9ESW4|AGK: 568072.583333334
P52503|NDUS6: 565515.4791666665
P62196|PRS8: 562916.6666666666
Q8VCW8|ACSF2: 562125.0
P40124|CAP1: 560851.697916667
Q8K1Z0|COQ9: 558666.6666666666
P20029|BIP: 556605.0833333335
Q06138|CAB39: 556250.0
Q9WUM5|SUCA: 551155.9375
D3Z7P3|GLSK: 550870.385416667
P14231|AT1B2: 548973.291666666
Q9WV92|E41L3: 548689.2083333335
Q80TL0|PPM1E: 548604.3854166665
Q99LC3|NDUAA: 535811.5
Q04690|NF1: 534875.0
P17426|AP2A1: 531444.958333333
P20152|VIME: 531248.5625
P63216|GBG3: 531119.177083333
P63168|DYL1: 530612.9791666665
Q9QYX7|PCLO: 530554.3125
Q61316|HSP74: 529972.6875
P16054|KPCE: 529498.375
P68037|UB2L3: 528345.8333333334
Q9QZ06|TOLIP: 527291.6666666666
Q8BG39|SV2B: 525428.447916667
Q8BVI4|DHPR: 523591.80208333395
P62823|RAB3C: 521281.53125
Q61753|SERA: 518220.114583333
O55125|NIPS1: 516624.90625
P31938|MP2K1: 515950.83333333326
P31786|ACBP: 515725.66666666605
Q9R1P1|PSB3: 510791.6666666667
Q80TJ1|CAPS1: 505491.0833333335
P07724|ALBU: 504604.21875
P10649|GSTM1: 503656.125
P27546|MAP4: 503570.572916667
P18760|COF1: 500552.25
Q9CXZ1|NDUS4: 490132.458333333
Q9D0M3|CY1: 488531.489583333
Q5M8N0|CNRP1: 488250.2916666665
P24452|CAPG: 488166.6666666667
Q8R5M8|CADM1: 486431.3125
O89053|COR1A: 486083.385416667
P15864|H12: 484974.8854166665
Q8BLK3|LSAMP: 484363.4895833335
Q8R1I1|QCR9: 483802.135416667
Q9Z0P4|PALM: 481878.6666666665
P48774|GSTM5: 481570.57812499977
Q9D2G2|ODO2: 476136.489583333
Q61598|GDIB: 474225.45833333395
P05063|ALDOC: 471778.7083333358
O55091|IMPCT: 470654.1666666667
P62743|AP2S1: 468649.7604166665
Q9CQX2|CYB5B: 463831.8958333335
Q9CZY3|UB2V1: 461000.0
P14206|RSSA: 459935.9791666665
O88737|BSN: 459705.5
Q60864|STIP1: 458671.177083333
P63085|MK01: 455546.4166666665
P68404|KPCB: 452701.859375
P61082|UBC12: 452000.0
P24288|BCAT1: 447791.6666666667
Q6PEB6|PHOCN: 440345.8333333333
O89051|ITM2B: 438666.6666666667
P14869|RLA0: 437338.822916667
Q8C8R3|ANK2: 436536.0416666665
Q61553|FSCN1: 436144.708333333
Q8BGZ1|HPCL4: 433754.3229166665
P21279|GNAQ: 426478.5625
Q9CQJ8|NDUB9: 425956.1041666665
P18242|CATD: 424431.005208333
P59999|ARPC4: 423992.53125
Q9JKD3|SCAM5: 421918.0052083335
Q99LX0|PARK7: 421527.229166667
O35129|PHB2: 421479.729166667
Q9JM76|ARPC3: 420008.09375
Q9D855|QCR7: 419545.208333333
P43406|ITAV: 418695.8333333333
P97807|FUMH: 418317.6875
P97823|LYPA1: 418216.6666666667
Q9CWZ7|SNAG: 417480.2708333335
P47857|PFKAM: 417168.64583333395
Q9CR62|M2OM: 416781.1979166665
Q9DCJ5|NDUA8: 415767.5
P27773|PDIA3: 415620.90625000047
Q6ZQ38|CAND1: 414290.34375
Q8K354|CBR3: 412120.8333333333
