Q4QQM4|P5I11: -4.832021766149085
Q6A0A9|F120A: -4.823186550129221
Q9WVK8|CP46A: -4.81907417697418
Q8BR92|PALM2: -4.813257478740515
O08688|CAN5: -4.81258535455048
P01029|CO4B: -4.799698813348093
P70429|EVL: -4.7879179813733925
O35345|IMA7: -4.786488478737937
Q80U49|C170B: -4.776610901834232
Q00612|G6PD1: -4.77262266574746
Q8BGC4|PTGR3: -4.759356545319436
Q9DBR7|MYPT1: -4.741221198481547
Q80U40|RIMB2: -4.734238350235376
Q9D7S9|CHMP5: -4.709468759701307
Q8BGE6|ATG4B: -4.708024551370792
Q9WV54|ASAH1: -4.7011082862716576
Q64520|KGUA: -4.669093459308981
Q61137|ASTN1: -4.658320754151142
Q9ER58|TICN2: -4.651506745218041
P61082|UBC12: -4.650140640326255
Q6GQS1|SCMC3: -4.564567515194891
Q9Z2C4|MTMR1: -4.543549555150901
P14576|SRP54: -4.542432269142352
A2AP18|PLCH2: -4.536465499811223
Q99JX3|GORS2: -4.501131832835252
Q8C460|ERI3: -4.500793722646111
Q9ESN9|JIP3: -4.499310345224116
P21981|TGM2: -4.479196415100047
P52480|KPYM: -4.449375679546706
O54901|OX2G: -4.443130415744942
P56565|S10A1: -4.425791567613268
P55937|GOGA3: -4.422482528973185
P62305|RUXE: -4.409745208007218
Q8BLE7|VGLU2: -4.387586093322944
O08663|MAP2: -4.378584419127768
Q8BU33|ILVBL: -4.3596561677111625
Q61768|KINH: -4.329610788883518
Q9CPX8|QCR10: -4.317308749364969
Q9Z1L5|CA2D3: -4.294700401353536
Q06890|CLUS: -4.286037854798186
Q91WG5|AAKG2: -4.282962203876338
Q9Z1W9|STK39: -4.2459289531444036
Q8CHT1|NGEF: -4.239020795641754
Q6ZPE2|MTMR5: -4.23424927821377
O55142|RL35A: -4.231455596021326
Q8BL86|MBLC2: -4.212970432846497
Q8BNU0|ARMC6: -4.184657590363908
Q8K394|PLCL2: -4.1785695543345565
Q8VIM9|IRGQ: -4.175419511559529
Q3UH99|SHSA6: -4.169502141254997
Q3TES0|IQEC3: -4.166631632665351
Q60899|ELAV2: -4.165724782465631
Q91VK4|ITM2C: -4.150860809072298
Q61282|PGCA: -4.084246163735924
Q8BVI5|STX16: -4.053294354860111
Q9Z1Q5|CLIC1: -4.047324261740916
O35598|ADA10: -4.032014218516366
O70492|SNX3: -4.02842747543511
P98084|APBA2: -4.01005039886639
Q99KR7|PPIF: -4.000273597846087
P97855|G3BP1: -3.999429054750518
Q9CPQ3|TOM22: -3.9976200273929594
P34152|FAK1: -3.9969452373624628
P49446|PTPRE: -3.9799002575702582
P51855|GSHB: -3.976894615232692
Q9R069|BCAM: -3.9451285958955267
P80560|PTPR2: -3.9168730449906777
Q6PIC6|AT1A3: -3.9164106368954767
P61759|PFD3: -3.876487569661263
Q80WM4|HPLN4: -3.8321162597852565
Q91XV3|BASP1: -3.820162946849322
P08249|MDHM: -3.7978857997469633
P60521|GBRL2: -3.793664930820665
O88448|KLC2: -3.7341313997165
P29416|HEXA: -3.668237113995978
P21619|LMNB2: -3.617481336211465
Q00915|RET1: -3.617325594028233
Q9D1C8|VPS28: -3.5853293114925107
Q8BMK4|CKAP4: -3.58080543746047
P14106|C1QB: -3.5507872500754805
Q91ZU6|DYST: -3.545146960502755
A2AJA9|AJM1: -3.4957351821865816
Q61205|PA1B3: -3.4937608800071294
Q9QXG2|RAE1: -3.491075931780022
Q9D0F6|RFC5: -3.483416143009684
Q64345|IFIT3: -3.452983598832717
Q3UJU9|RMD3: -3.4528755776468185
P07356|ANXA2: -3.449288258105748
Q4V9Z5|SE6L2: -3.4403200129546656
Q64332|SYN2: -3.4357226084362136
Q8CJH3|PLXB1: -3.431302976320803
Q8VBX6|MPDZ: -3.364775773409751
Q9CZ04|CSN7A: -3.3484584525405547
Q9D2N9|VP33A: -3.344867062483913
Q8R1T1|CHMP7: -3.341944657226119
Q9D4H2|GCC1: -3.3378734100543976
Q8CG70|P3H3: -3.337640024704837
